developer,total_games,avg_price_usd,avg_positive_review_percentage,total_reviews
Steppe Hare Studio,11,3.4,85.73,6299
Musa GUNGOR,11,1.79,84.99,389
Alawar Entertainment,11,2.04,84.85,2880
bankbank,11,3.68,84.29,88
Crytek,11,6.17,84.01,326709
GameHouse,11,15.21,82.51,1062
Acerola,11,9.68,82.24,5872
Bigosaur,11,4.24,82.24,2226
Lonely Troops,11,1.39,81.99,11369
Yai Gameworks,11,1.68,80.8,1764
Crystal Dynamics,11,2.02,80.7,414332
Cornutopia Software,11,6.59,80.45,65
Petite Games,11,1.36,80.34,267
Home Net Games,11,2.72,79.76,11121
Dotemu,11,5.96,79.25,49486
Endless Loop Studios,11,1.9,78.76,7294
New Bridge Games,11,3.87,78.51,418
Workroom7,11,8.1,78.41,560
Vertigo Games,11,8.53,78.38,19164
NukGames,11,0.45,78.28,12784
DICE,11,26.63,78.27,961199
Nikita Morti,11,4.44,77.84,168
Studio Saizensen,11,5.78,77.43,1552
Frosted Wings Studio,11,2.17,76.04,297
Firefly Studios,11,3.95,75.54,77520
Petroglyph,11,8.79,75.44,86906
Turquoise Revival Games,11,0.88,74.54,4628
Zen Studios,11,3.81,74.3,9069
Beshbarmak games,11,4.76,74.06,733
bhungry,11,1.57,73.95,2163
Crazysoft Limited,11,8.94,73.84,138
BUG-Studio,11,1.88,73.39,345
ProjectorGames,11,9.26,72.45,5313
GTGD,11,5.34,72.43,826
VD Games,11,3.99,72.34,3079
Hit-Point Co.,11,9.85,72.06,134
Satur Entertainment,11,4.49,71.75,2216
Axis Games,11,9.99,71.72,1745
Mykhail Konokh,11,2.53,71.09,620
Fabio Ferrara,11,0.66,70.26,15347
KT Racing,11,4.63,70.16,37956
CFK Co.,11,5.26,68.78,3572
Blue Sunset Games,11,1.1,67.78,620
SUDT Games,11,1.06,67.4,176
Marginalact,11,1.14,66.43,162
Axyos Games,11,1.27,65.57,3044
JoyBits Ltd.,11,1.0,62.89,3133
Silver Cow Studio,11,9.08,61.07,417
StarSystemStudios,11,2.35,58.74,168
ColloseusX,11,0.39,56.3,3018
IO Games,11,0.73,55.91,642
Aleksey,11,2.54,51.37,38
WhackAKey Games,11,0.55,50.56,910
Pokies4fun,11,9.35,46.88,21
Skmaestro,11,1.12,46.34,153
MCG,11,2.58,45.58,262
Polygon Art,11,6.95,45.49,287
SunshineOvercast,11,0.65,42.24,76
JY,11,4.17,31.29,90
ASOBI,11,2.45,,0
CupCupMug,11,3.38,,0
Horny69Team,11,2.08,,0
POISON,11,6.13,,0
Towndarktales,11,4.96,,0
Rusty Lake,10,1.79,96.41,76735
Tribus Games Indie,10,0.62,95.75,233
Old School Vibes,10,0.75,95.47,342
Gray Boss,10,0.99,95.38,308
ISY,10,4.72,95.13,1203
Vergiu,10,0.89,94.45,739
Higgs Games GmbH,10,3.7,94.05,105
LostVolBytes,10,0.84,93.99,780
Maciej Targoni,10,1.32,93.41,16669
Mojiken,10,1.98,92.67,16404
凝冰剑斩,10,0.54,92.67,2063
desunoya,10,5.79,91.34,279
